line_num,sensor_beats,processor_beats,logger_beats
5,1,1,1
7,2,2,2
9,3,3,3
11,4,4,4
13,5,5,5
15,6,6,6
17,7,7,7
19,8,8,8
21,9,9,9
23,10,10,10
25,11,11,11
27,12,12,12
29,13,13,13
31,14,14,14
33,15,15,15
35,16,16,16
37,17,17,17
39,18,18,18
41,19,19,19
43,20,20,20
45,21,21,21
47,22,22,22
49,23,23,23
51,24,24,24
53,25,25,25
55,26,26,26
57,27,27,27
59,28,28,28
61,29,29,29
63,30,30,30
65,31,31,31
67,32,32,32
69,33,33,33
71,34,34,34
73,35,35,35
75,36,36,36
77,37,37,37
79,38,38,38
81,39,39,39
83,40,40,40
85,41,41,41
87,42,42,42
89,43,43,43
91,44,44,44
93,45,45,45
95,46,46,46
97,47,47,47
99,48,48,48
101,49,49,49
103,50,50,50
105,51,51,51
107,52,52,52
109,53,53,53
111,54,54,54
113,55,55,55
115,56,56,56
117,57,57,57
119,58,58,58
121,59,59,59
123,60,60,60
125,61,61,61
127,62,62,62
129,63,63,63
131,64,64,64
133,65,65,65
135,66,66,66
137,67,67,67
139,68,68,68
141,69,69,69
143,70,70,70
145,71,71,71
147,72,72,72
149,73,73,73
151,74,74,74
153,75,75,75
155,76,76,76
157,77,77,77
159,78,78,78
161,79,79,79
163,80,80,80
165,81,81,81
167,82,82,82
169,83,83,83
171,84,84,84
173,85,85,85
175,86,86,86
177,87,87,87
179,88,88,88
181,89,89,89
183,90,90,90
185,91,91,91
187,92,92,92
189,93,93,93
191,94,94,94
193,95,95,95
195,96,96,96
197,97,97,97
199,98,98,98
201,99,99,99
203,100,100,100
205,101,101,101
207,102,102,102
209,103,103,103
211,104,104,104
213,105,105,105
215,106,106,106
217,107,107,107
219,108,108,108
221,109,109,109
223,110,110,110
225,111,111,111
227,112,112,112
229,113,113,113
231,114,114,114
233,115,115,115
235,116,116,116
237,117,117,117
239,118,118,118
241,119,119,119
243,120,120,120
245,121,121,121
247,122,122,122
249,123,123,123
251,124,124,124
253,125,125,125
255,126,126,126
257,127,127,127
259,128,128,128
261,129,129,129
263,130,130,130
265,131,131,131
267,132,132,132
269,133,133,133
271,134,134,134
273,135,135,135
275,136,136,136
277,137,137,137
279,138,138,138
281,139,139,139
283,140,140,140
285,141,141,141
287,142,142,142
289,143,143,143
291,144,144,144
293,145,145,145
295,146,146,146
297,147,147,147
299,148,148,148
301,149,149,149
303,150,150,150
305,151,151,151
307,152,152,152
309,153,153,153
311,154,154,154
313,155,155,155
315,156,156,156
317,157,157,157
319,158,158,158
321,159,159,159
